mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-184.12552,7.731072,4.5270567,0.5031748,-1.4831407,-2.745548,-1.4698503,0.48543617,0.12997648,-2.1957746,-2.3013613,-0.20684497,0.9706779,buka
-630.3004,113.25256,25.740076,27.790562,-1.8848593,13.527467,-3.8170156,0.24038954,5.787313,-4.866007,0.8988092,-2.9645448,3.247084,buka
-249.09636,1.4216332,3.234724,0.88675535,-0.44246587,-1.8333757,-2.609631,-0.9436374,-0.5233176,-0.56183094,-0.9048269,-1.2649525,-1.1141248,buka
-293.1108,6.358102,3.2198842,-0.74594504,-3.3110733,-3.4357285,-0.9244191,0.9972734,-0.15021627,-1.7714683,-0.5838743,0.7689326,1.0760535,buka
-640.3387,91.14163,23.997843,20.339302,0.34583396,9.001184,-2.89915,0.91512287,3.2848494,-3.8422427,-0.092492715,-2.3546727,4.019864,buka
-592.4034,99.91842,25.635891,12.7608385,0.88990635,3.2357109,-3.3498056,5.225397,-0.5237202,-3.8857095,1.36207,2.7712464,2.0401258,buka
-147.3014,16.613604,8.303916,1.983338,-0.63545126,-3.3401215,-2.3596866,1.355137,1.7307858,-1.4960289,-2.664037,-0.26558426,1.0838678,buka
-30.069483,15.328168,-8.701622,13.53643,-13.731981,9.579928,-14.775505,10.841277,-12.639184,11.185299,-13.228811,10.360328,-12.491639,buka
-83.331955,7.7996507,5.0119,2.2849374,-1.5532714,-2.4441972,-3.6550806,-0.4700184,0.3400075,0.33763102,-2.616121,-2.0975175,-1.5832269,buka
-156.31511,15.913698,7.3490496,1.1527508,-1.309724,-3.484361,-1.37327,2.0298352,0.78494906,-2.5103533,-1.6570472,1.1312425,1.1294955,buka
-348.73508,11.649426,-3.0022614,6.476131,-9.129257,3.131205,-8.084463,6.816054,-6.125941,5.432608,-7.873515,6.861934,-5.3829327,buka
-614.55334,107.359665,25.778353,22.210573,-1.1035721,10.722811,-5.7490683,1.9303665,2.5427706,-4.967915,0.21766686,-2.3715827,5.2415752,buka
-360.4555,17.093763,6.7071943,0.38158277,-2.9133847,-4.3902855,-1.2874007,2.195231,-0.05792709,-3.6000378,-1.5991269,1.9096142,1.2686592,buka
-93.04793,6.147675,4.258845,0.5136212,-2.0147169,-3.1287935,-2.0600545,0.506126,0.3882852,-1.8434706,-2.735079,-0.5805686,1.126062,buka
-161.52257,6.873543,4.8138947,1.2305241,-1.4313219,-2.9185395,-2.7913582,-0.30876747,0.9144571,-0.42090124,-2.3151147,-2.0861979,-0.3661072,buka
-626.01904,109.15272,25.999033,23.916706,1.7086627,8.750875,-1.4830277,-1.3251852,7.692937,-0.94706887,-1.3557181,-4.598353,-0.27070996,buka
-590.7937,99.8344,26.610554,15.305698,0.86447227,4.5851154,-5.299676,4.3471766,-1.139846,-3.6782537,1.4034153,1.1692362,2.3663747,buka
-674.3814,105.45843,25.527433,27.218058,0.5869607,11.096941,-1.2103628,-2.8215563,6.511135,-3.5986297,-0.37496734,-2.568931,-1.0796422,buka
-659.00726,114.31994,25.310284,28.46676,-1.9669636,13.898397,-3.4552054,-0.52393615,6.373707,-4.6621428,0.7736291,-2.905817,2.7811477,buka
-70.144806,3.063288,3.063241,1.379678,-2.3324819,-2.613873,-2.9925876,-0.25934172,-0.75368935,-0.18560174,-1.6740634,-0.5569778,-0.88192624,buka
-412.70862,17.139801,9.855165,4.0153217,1.0153043,-2.4905381,-4.075505,-1.15782,2.0076697,0.18514809,-2.614395,-2.3116686,-0.46943632,buka
-438.41763,23.001392,9.148129,3.2511938,-0.2297842,-2.9482749,-0.45824262,2.757194,-1.27377,-3.9460733,-0.27691603,2.5467792,1.0222839,buka
-175.16235,16.006475,7.9990673,1.7399322,-0.9394013,-3.428016,-2.3482692,1.280868,1.6224548,-1.8175372,-2.7761981,-0.15888081,1.0752213,buka
-651.9965,114.40446,23.386614,21.800781,-2.9060564,9.962689,-6.5958757,5.2018456,5.2145557,-3.6495385,-0.10322349,-0.4108113,8.522252,buka
-610.5884,108.65783,26.71583,23.272066,-2.3069355,10.873202,-5.343004,3.0553603,2.2569487,-4.60654,1.2902489,-2.0939145,5.908314,buka
-656.3787,83.77587,22.778358,18.161669,1.2769374,7.0593004,-3.644799,3.0445378,1.6376911,-2.6738024,-2.0637212,0.7588288,3.4483192,buka
-268.08963,24.946775,-14.724902,22.672253,-20.222416,16.96775,-22.639729,17.75689,-18.8601,18.205397,-19.394222,16.067047,-18.09003,buka
-367.11157,13.177776,7.075441,2.197027,-0.80419046,-2.8377066,-2.0244558,0.88175756,0.8227046,-2.017083,-2.9299831,-1.1528718,0.70747286,buka
-86.81364,9.1689205,5.579522,0.8707685,-1.4693085,-3.2448387,-2.1341536,0.3842997,0.5886317,-2.067709,-3.129384,-1.1322559,0.63082516,buka
-616.61975,104.44077,25.92244,18.888977,-1.0259962,9.093195,-6.1439686,4.748892,-0.057388958,-3.448014,0.67625815,-0.12799521,5.350267,buka
-376.9241,9.904502,6.2234087,1.2241331,-1.6728569,-3.6160367,-2.5160441,0.35797593,0.7167171,-1.1363184,-1.9612383,-0.31577834,0.621726,buka
-96.888565,7.8350625,4.259588,-0.012120891,-1.8564912,-2.869824,-1.2456727,0.6614099,-0.19068636,-2.4727376,-1.8659397,0.35470888,1.1681938,buka
-132.48975,7.1656175,5.610872,1.309446,-1.7938968,-3.7995954,-3.5594792,-0.29488567,1.1776241,-0.6831662,-2.869662,-2.4057922,-0.25940576,buka
-292.64926,5.141753,3.3009243,-0.5590351,-2.4389162,-3.1399996,-1.5047096,0.24762817,-0.5490884,-1.2293599,0.052446533,1.7115343,0.9672427,buka
-598.2732,99.19237,27.392008,20.236858,1.5621023,7.7758684,-4.89547,3.2518039,1.2933464,-3.5004246,-1.7619216,1.0413744,3.8941195,buka
-145.74878,16.660133,8.2439375,1.968585,-0.696122,-3.425956,-2.4325657,1.3095474,1.657847,-1.6266409,-2.800681,-0.3623593,0.9718934,buka
-158.1405,6.422479,4.4542627,0.94797975,-1.5237038,-2.7239327,-2.2761009,-0.039291147,0.84827733,-0.59433615,-2.3090193,-1.6861942,0.02635632,buka
-107.43408,8.437993,4.1847305,-1.2868365,-3.3121006,-3.7053974,-0.2645422,1.626833,-1.1608503,-3.6232226,-0.83878636,1.7415837,1.1876713,buka
-338.86392,7.5711164,5.9894657,2.1694252,-0.6653383,-2.5780084,-3.0282657,-1.0811623,0.6628402,-0.09069292,-1.573811,-2.086251,-1.0250878,buka
-145.65991,21.198109,3.451535,8.496555,-5.4280086,2.709287,-8.549081,5.530734,-3.689306,5.1987205,-8.292372,3.825229,-5.0246444,buka
-318.92212,8.927066,3.4478679,-1.1039174,-3.0521317,-3.0874946,-0.07590853,0.8108727,-1.937177,-2.4287205,0.29470915,0.904653,-1.3857453,buka
-89.07945,10.44534,4.8249283,2.5434294,-2.273506,-2.0696933,-3.7887535,1.2424328,-0.19244544,-0.21215586,-4.3945374,-0.8670984,-1.3074837,buka
-160.45218,15.583862,6.4021907,0.347228,-1.8084555,-3.2854676,-0.2533413,2.446297,0.08420047,-2.7474563,-0.7363985,1.6786146,0.6498539,buka
-22.511011,2.6349049,3.0077271,0.43264762,-2.033383,-2.758789,-2.2250493,-0.7741646,-0.6395679,-1.0155421,-1.5537529,-1.0135472,-0.26411593,buka
-420.03085,22.442604,3.5937831,9.186543,-4.8918247,3.168703,-8.973992,6.0611653,-3.371617,5.089553,-9.173028,3.168681,-5.5969214,buka
-360.20108,17.169834,6.3852158,4.7437367,-1.6924131,-0.9262251,-4.8700323,1.9653918,-0.49098694,0.52729803,-5.031471,0.49580583,-0.97964776,buka
-117.166954,8.009882,4.4112334,-0.004043439,-2.0492945,-2.978404,-0.77717316,1.0419534,-0.5751546,-3.0672646,-1.700187,1.0003333,1.2274961,buka
-128.85,8.6537695,5.194819,0.88893336,-1.3273877,-2.995579,-2.1184423,0.20340624,0.4220023,-2.0003815,-2.9150102,-0.97797453,0.6079092,buka
-606.7491,102.64808,25.97779,17.649715,-0.9317418,8.165863,-6.0253263,5.0132527,-0.9670224,-2.8934755,0.7032325,0.6368902,4.307644,buka
-649.2265,112.90633,23.996222,25.659975,-3.139229,13.199286,-7.329016,3.4343972,3.0922596,-4.855964,1.4302979,-1.8669249,6.411695,buka
-673.06476,107.370056,25.794277,22.42278,-0.9605076,10.927088,-5.61697,2.0814922,2.646691,-4.85069,0.36470148,-2.2194107,5.387218,buka
-368.938,1.3997635,2.9553583,0.8683257,-1.2313931,-2.711297,-2.4277787,-0.98771936,0.26943502,-0.019058157,-0.8639026,-0.93697524,-0.9435674,buka
-643.49835,93.08004,23.424068,14.558922,-0.8191829,6.445459,-5.439463,5.485423,-2.004032,-1.0068461,1.1000218,1.839567,1.6566479,buka
-677.68414,90.25497,22.455362,20.81713,0.22864124,9.600213,-2.1829433,0.6638954,4.1849732,-3.551846,0.028629035,-2.5432532,3.049751,buka
-186.95052,5.248562,3.5096884,0.23022895,-1.8530755,-2.3471742,-1.0297343,0.65300274,-0.11756393,-1.9714148,-1.8478959,0.44079342,1.234035,buka
-162.94904,16.613794,8.221746,1.9643644,-0.7161253,-3.4266973,-2.4489596,1.32297,1.674263,-1.6201681,-2.7981799,-0.35466743,0.98923093,buka
-264.99326,1.9562546,2.264749,-0.29724908,-2.1784496,-2.5515668,-1.480264,-0.37758228,-0.24059443,-0.5554919,-0.075512215,1.0188361,1.229831,buka
-363.16083,7.0116677,5.066983,0.90574044,-1.9465793,-3.1665359,-1.1998136,0.605262,-0.34075007,-1.8947688,-0.65329885,0.86531526,0.88156307,buka
-394.20813,21.623343,11.547816,5.375302,2.478716,-1.3384625,-3.6836946,-0.54017276,3.0580456,1.1190162,-2.6318135,-2.8881729,-0.69843966,buka
-626.73193,107.422806,26.468021,27.29546,1.6275849,11.46237,0.66995305,-2.8825989,6.570417,-2.9619746,-0.9503241,-3.3104355,-2.1891224,buka
-664.74963,105.313576,26.928432,26.997187,0.120712236,10.642377,-0.28376514,-2.806127,6.0817156,-3.3881657,-0.032235708,-2.757556,-0.7866241,buka
-285.87195,8.762646,6.29734,2.8799205,-0.49535498,-2.6338537,-3.7281706,-1.2794567,0.39799654,0.02786794,-2.5240576,-2.3169847,-1.657566,buka
9.275909,2.245619,2.8489268,0.10430448,-1.995477,-2.7549937,-1.7744288,-0.6788822,-0.6009291,-1.1729032,-1.2580463,-0.80770004,0.12314938,buka
-24.953032,2.2563033,2.9746983,0.18585414,-2.1278992,-2.8992953,-1.8462758,-0.63813585,-0.56764096,-1.1743755,-1.3450778,-0.7886414,0.16947588,buka
-664.59143,105.346954,26.984509,27.016253,0.1944385,10.570653,-0.32217863,-2.6319413,6.0440807,-3.4716475,0.09429334,-2.854784,-1.0434183,buka
-636.82184,93.17684,23.367884,23.897919,0.34871906,9.382702,-0.58476347,-2.390576,5.643822,-3.1226177,-0.135974,-2.3600988,-1.0406744,buka
-115.37961,16.539885,8.284137,1.9551157,-0.74430794,-3.3651843,-2.2660835,1.5512788,1.9065561,-1.2820752,-2.285926,0.09557606,1.0412608,buka
-420.00467,16.155695,8.221307,2.0996282,-0.81093425,-3.3723297,-2.6148677,1.2574624,1.5219914,-2.4942245,-3.551412,-1.0307978,1.0609554,buka
-51.946705,7.0925703,4.9195313,1.36701,-1.2965722,-2.8968647,-2.8361151,-0.7123707,0.62072355,-0.45015547,-2.1369815,-2.0273838,-0.39037365,buka
-676.44104,100.792786,22.2824,22.42223,-2.471548,11.928177,-5.9945602,2.8220043,2.8796833,-4.145652,1.4336733,-1.7414933,5.9942513,buka
-635.84937,115.23212,24.727224,22.804571,-2.159829,12.524227,-7.0158296,3.3196397,3.4926996,-4.852954,0.823525,-1.4610802,7.1497717,buka
-80.75755,7.2451816,5.2048717,1.5215054,-1.3845779,-3.0570922,-2.9668574,-0.50521374,0.9228917,-0.5253393,-2.5678566,-2.347108,-0.56885606,buka
-680.117,98.74412,21.799067,21.953995,-2.5159929,11.501096,-5.874481,2.8064356,2.8680365,-4.012216,1.3496523,-1.8101236,5.731056,buka
-337.19534,6.907434,3.0935717,-0.268243,-2.0872867,-2.7313461,-1.1418685,0.3982675,-0.5265785,-1.7584068,-0.48550475,1.0690511,0.99293035,buka
-642.08435,108.44747,24.215624,17.863234,-3.0385034,8.626201,-8.524284,7.551607,-3.2343597,-1.2395525,1.5420465,0.92923373,3.5627644,buka
-324.89505,26.506254,-9.388713,16.547253,-17.092024,12.080109,-17.04182,15.269311,-13.728531,12.911843,-16.51681,12.854828,-12.577368,buka
-360.06458,16.72433,6.635666,1.1431206,-1.6528169,-2.9794497,-0.42389363,1.9178576,-0.5858728,-3.8674939,-1.6574142,1.5023574,0.83448666,buka
-78.64966,9.1102085,5.460832,0.8242376,-1.5008594,-3.2562459,-2.1546817,0.32325712,0.5038946,-2.1590486,-3.189803,-1.2099098,0.5482426,buka
-83.80896,8.923636,5.299859,0.786339,-1.5023917,-3.2572868,-2.1740017,0.32477203,0.5022962,-2.160132,-3.2941716,-1.3221605,0.4766186,buka
43.109463,2.6770942,2.9284003,0.1598856,-2.0737054,-2.9266376,-2.128959,-0.8377546,-0.61548764,-1.1668187,-1.4145845,-0.9834477,0.016611146,buka
-85.35125,9.103674,5.443294,0.8230738,-1.4800049,-3.2407753,-2.123492,0.35660475,0.5232322,-2.168806,-3.2017303,-1.2071673,0.56882334,buka
-605.21716,112.96098,24.06811,25.774942,-3.0831292,13.273624,-7.3029075,3.4868696,3.143336,-4.7832074,1.4779248,-1.8082918,6.4421935,buka
-644.2699,109.28015,25.182957,17.49272,-3.298658,8.715135,-7.7125683,7.384912,-3.4441817,-0.85586035,1.8325034,0.6645013,4.095766,buka
-470.05466,34.1019,12.393567,5.99822,2.302011,-0.97724926,0.5491516,3.0151517,-1.2804809,-4.27742,-0.04974188,3.34499,0.500257,buka
-110.69491,24.776104,-8.956993,17.746037,-15.752959,12.484554,-18.236403,14.099445,-13.591252,14.469481,-16.630997,11.357293,-14.910107,buka
-79.61585,7.2595835,5.1263537,1.3509514,-1.5310191,-3.1020079,-2.979977,-0.58764863,0.811515,-0.5568745,-2.4482272,-2.226705,-0.46352926,buka
-552.9527,102.84001,26.066692,17.666843,-1.0250192,8.140978,-6.0427117,4.950628,-0.8994865,-2.9242458,0.5806877,0.43673575,4.3210387,buka
-668.46936,112.849335,23.96925,25.890188,-3.1081471,13.258184,-7.267364,3.555419,3.1081338,-4.6901045,1.5615427,-1.6932579,6.472941,buka
-512.20917,21.381481,10.195092,4.430131,1.1002905,-1.8409475,-1.6946025,1.7578402,2.1567576,-1.938449,-2.8442414,-0.0872726,1.8317853,buka
-662.5669,98.60264,26.15395,22.59378,-0.81745225,9.504527,-3.7693295,2.2481768,2.9059367,-4.336491,0.9484725,-1.8888798,5.0282025,buka
-590.7937,99.8344,26.610554,15.305698,0.86447227,4.5851154,-5.299676,4.3471766,-1.139846,-3.6782537,1.4034153,1.1692362,2.3663747,buka
-134.9214,1.6732498,2.1442134,-0.36073714,-1.8981186,-2.298927,-1.2851396,-0.43637526,-0.49544147,-0.9692266,-0.9271427,-0.35868117,0.3909728,buka
-103.13965,8.649219,4.9369073,-0.16946131,-2.5425348,-3.797694,-1.2699898,1.3015182,-0.38138726,-3.443543,-2.1540396,0.77849156,1.375908,buka
-88.694885,9.298164,5.5236735,1.4056262,-1.4571007,-3.0671933,-2.7090936,0.33254656,0.5691712,-1.4876708,-3.4357138,-1.2722313,0.13145457,buka
-381.4795,19.628157,7.695816,2.0794678,-0.87731105,-2.5971956,-0.50022006,1.9588484,-0.008445525,-2.7154284,-1.0953218,1.5584741,0.42047003,buka
-346.6555,6.891561,2.7845435,-1.2856022,-2.7086933,-1.5997332,0.94317585,0.9046508,-1.5327953,-1.475305,1.1260518,1.2068497,-0.88040775,buka
-87.92282,6.3777356,4.550652,0.8620512,-1.9082639,-3.2436306,-2.5655706,0.033019926,0.56575537,-1.3381698,-2.6990473,-1.2638271,0.61237025,buka
-164.48161,6.567795,4.5046306,1.2350823,-1.2036724,-2.6276639,-2.4972806,-0.36797535,0.83082116,-0.28017557,-2.1235394,-2.0191905,-0.41216892,buka
-258.9574,3.8333087,4.422696,1.4753755,-0.9335773,-2.6266167,-3.1736941,-1.8070158,-0.005458361,0.086372785,-0.7524168,-1.5676486,-1.2230831,buka
